,human_genes,mouse_genes,mouse_read,mouse_inhuman,chick_genes,chick_read,chick_inhuman,mouse_CAPSON,macaque_genes,macaque_inchick,macaque_inhuman,macaque_inmouse
51,ABCG5,Abcg5,True,True,ABCG5,True,True,ABCG5,ABCG5,,,
52,ABCG8,Abcg8,True,True,ABCG8,True,True,ABCG8,ABCG8,,,
53,ABHD10,Abhd10,True,True,ABHD10,True,True,ABHD10,ABHD10,,,
54,ABHD11,Abhd11,True,True,ABHD11,True,True,ABHD11,ABHD11,,,
55,ABHD12,Abhd12,True,True,ABHD12,True,True,ABHD12,ABHD12,,,
56,ABHD13,Abhd13,True,True,ABHD13,True,True,ABHD13,ABHD13,,,
57,ABHD14B,Abhd14b,True,True,ABHD14B,True,True,ABHD14B,ABHD14B,,,
58,ABHD17A,Abhd17a,True,True,ABHD17A,True,True,ABHD17A,ABHD17A,,,
59,ABHD17C,Abhd17c,True,True,ABHD17C,True,True,ABHD17C,ABHD17C,,,
63,ABHD5,Abhd5,True,True,ABHD4,True,True,ABHD5,ABHD4,,,
65,ABHD8,Abhd8,True,True,ABHD8,True,True,ABHD8,ABHD8,,,
66,ABI1,Abi1,True,True,ABI1,True,True,ABI1,ABI1,,,
68,ABI3,Abi3,True,True,ABI3,True,True,ABI3,ABI3,,,
69,ABL1,Abl1,True,True,ABL1,True,True,ABL1,ABL1,,,
70,ABL2,Abl2,True,True,ABL2,True,True,ABL2,ABL2,,,
72,ABLIM2,Ablim2,True,True,ABLIM2,True,True,ABLIM2,ABLIM2,,,
73,ABLIM3,Ablim3,True,True,ABLIM3,True,True,ABLIM3,ABLIM3,,,
74,ABR,Abr,True,True,ABR,True,True,ABR,ABR,,,
75,ABRA,Abra,True,True,ABRA,True,True,ABRA,ABRA,,,
76,ABRACL,Abracl,True,True,ABRACL,True,True,ABRACL,ABRACL,,,
79,ABTB1,Abtb1,True,True,ABTB1,True,True,ABTB1,ABTB1,,,
83,ACACA,Acaca,True,True,ACACA,True,True,ACACA,ACACA,,,
84,ACAD11,Acad11,True,True,ACAD11,True,True,ACAD11,ACAD11,,,
85,ACAD8,Acad8,True,True,ACAD8,True,True,ACAD8,ACAD8,,,
87,ACADL,Acadl,True,True,ACADL,True,True,ACADL,ACADL,,,
88,ACADS,Acads,True,True,ACADS,True,True,ACADS,ACADS,,,
89,ACADSB,Acadsb,True,True,ACADSB,True,True,ACADSB,ACADSB,,,
90,ACAN,Acan,True,True,ACAN,True,True,ACAN,ACAN,,,
91,ACAP2,Acap2,True,True,ACAP2,True,True,ACAP2,ACAP2,,,
92,ACAP3,Acap3,True,True,ACAP3,True,True,ACAP3,ACAP3,,,
93,ACAT1,Acat1,True,True,ACAT1,True,True,ACAT1,ACAT1,,,
96,ACBD3,Acbd3,True,True,ACBD3,True,True,ACBD3,ACBD3,,,
97,ACBD5,Acbd5,True,True,ACBD5,True,True,ACBD5,ACBD5,,,
98,ACBD6,Acbd6,True,True,ACBD6,True,True,ACBD6,ACBD6,,,
100,ACE,Ace,True,True,ACE,True,True,ACE,ACE,,,
101,ACE2,Ace2,True,True,ACE2,True,True,ACE2,ACE2,,,
102,ACER1,Acer1,True,True,ACER1,True,True,ACER1,ACER1,,,
103,ACER2,Acer2,True,True,ACER2,True,True,ACER2,ACER2,,,
104,ACER3,Acer3,True,True,ACER3,True,True,ACER3,ACER3,,,
105,ACHE,Ache,True,True,ACHE,True,True,ACHE,ACHE,,,
106,ACKR2,Ackr2,True,True,ACKR2,True,True,ACKR2,ACKR2,,,
107,ACKR3,Ackr3,True,True,CXCR7,True,True,ACKR3,ACKR3,,,
108,ACKR4,Ackr4,True,True,ACKR4,True,True,ACKR4,ACKR4,,,
109,ACLY,Acly,True,True,ACLY,True,True,ACLY,ACLY,,,
110,ACMSD,Acmsd,True,True,ACMSD,True,True,ACMSD,ACMSD,,,
111,ACO1,Aco1,True,True,ACO1,True,True,ACO1,ACO1,,,
114,ACOT11,Acot11,True,True,ACOT11,True,True,ACOT11,ACOT11,,,
115,ACOT12,Acot12,True,True,ACOT12,True,True,ACOT12,ACOT12,,,
116,ACOT13,Acot13,True,True,ACOT13,True,True,ACOT13,ACOT13,,,
118,ACOT8,Acot8,True,True,ACOT8,True,True,ACOT8,ACOT8,,,
120,ACOT9,Acot9,True,True,ACOT9,True,True,ACOT9,ACOT9,,,
121,ACOX1,Acox1,True,True,ACOX1,True,True,ACOX1,ACOX1,,,
122,ACOX2,Acox2,True,True,ACOX2,True,True,ACOX2,ACOX2,,,
123,ACOX3,Acox3,True,True,ACOX3,True,True,ACOX3,ACOX3,,,
124,ACP1,Acp1,True,True,ACP1,True,True,ACP1,ACP1,,,
125,ACP2,Acp2,True,True,ACP2,True,True,ACP2,ACP2,,,
126,ACP5,Acp5,True,True,ACP5,True,True,ACP5,ACP5,,,
127,ACP6,Acp6,True,True,ACP6,True,True,ACP6,ACP6,,,
128,ACSBG1,Acsbg1,True,True,ACSBG1,True,True,ACSBG1,ACSBG1,,,
130,ACSF2,Acsf2,True,True,ACSF2,True,True,ACSF2,ACSF2,,,
131,ACSL1,Acsl1,True,True,ACSL1,True,True,ACSL1,ACSL1,,,
132,ACSL3,Acsl3,True,True,ACSL3,True,True,ACSL3,ACSL3,,,
133,ACSL4,Acsl4,True,True,ACSL4,True,True,ACSL4,ACSL4,,,
135,ACSM3,Acsm3,True,True,ACSM3,True,True,ACSM3,ACSM3,,,
136,ACSM5,Acsm5,True,True,ACSM5,True,True,ACSM5,ACSM5,,,
137,ACSS1,Acss1,True,True,ACSS1,True,True,ACSS1,ACSS1,,,
138,ACSS2,Acss2,True,True,ACSS2,True,True,ACSS2,ACSS2,,,
140,ACTA1,Acta1,True,True,ACTA1,False,True,ACTA1,ACTA1,,,
141,ACTA2,Acta2,True,True,ACTA2,True,True,ACTA2,ACTA2,,,
142,ACTB,Actb,True,True,ACTB,True,True,ACTB,ACTB,,,
143,ACTC1,Actc1,True,True,ACTC1,True,True,ACTC1,ACTC1,,,
145,ACTL6A,Actl6a,True,True,ACTL6A,True,True,ACTL6A,ACTL6A,,,
146,ACTL6B,Actl6b,True,True,ACTL6B,True,True,ACTL6B,ACTL6B,,,
148,ACTN2,Actn2,True,True,ACTN2,True,True,ACTN2,ACTN2,,,
149,ACTN4,Actn4,True,True,ACTN4,False,True,ACTN4,ACTN4,,,
150,ACTR10,Actr10,True,True,ACTR10,True,True,ACTR10,ACTR10,,,
152,ACTR2,Actr2,True,True,ACTR2,True,True,ACTR2,ACTR2,,,
153,ACTR3,Actr3,True,True,ACTR3,True,True,ACTR3,ACTR3,,,
154,ACTR5,Actr5,True,True,ACTR5,True,True,ACTR5,ACTR5,,,
155,ACTR6,Actr6,True,True,ACTR6,True,True,ACTR6,ACTR6,,,
156,ACTR8,Actr8,True,True,ACTR8,True,True,ACTR8,ACTR8,,,
157,ACVR1,Acvr1,True,True,ACVR1,True,True,ACVR1,ACVR1,,,
159,ACVR1C,Acvr1c,True,True,ACVR1C,True,True,ACVR1C,ACVR1C,,,
160,ACVR2A,Acvr2a,True,True,ACVR2A,True,True,ACVR2A,ACVR2A,,,
161,ACVR2B,Acvr2b,True,True,ACVR2B,True,True,ACVR2B,ACVR2B,,,
162,ACVRL1,Acvrl1,True,True,ACVRL1,True,True,ACVRL1,ACVRL1,,,
163,ACYP1,Acyp1,True,True,ACYP1,False,True,ACYP1,ACYP1,,,
164,ACYP2,Acyp2,True,True,ACYP2,True,True,ACYP2,ACYP2,,,
165,ADA,Ada,True,True,ADA,True,True,ADA,ADA,,,
168,ADAM11,Adam11,True,True,ADAM11,True,True,ADAM11,ADAM11,,,
169,ADAM12,Adam12,True,True,ADAM12,True,True,ADAM12,ADAM12,,,
170,ADAM17,Adam17,True,True,ADAM17,True,True,ADAM17,ADAM17,,,
171,ADAM19,Adam19,True,True,ADAM19,True,True,ADAM19,ADAM19,,,
172,ADAM22,Adam22,True,True,ADAM22,True,True,ADAM22,ADAM22,,,
173,ADAM23,Adam23,True,True,ADAM23,True,True,ADAM23,ADAM23,,,
174,ADAM33,Adam33,True,True,ADAM33,True,True,ADAM33,ADAM33,,,
175,ADAM8,Adam8,True,True,ADAM8,True,True,ADAM8,ADAM8,,,
176,ADAM9,Adam9,True,True,ADAM9,True,True,ADAM9,ADAM9,,,
177,ADAMTS1,Adamts1,True,True,ADAMTS1,True,True,ADAMTS1,ADAMTS1,,,
178,ADAMTS10,Adamts10,True,True,ADAMTS10,True,True,ADAMTS10,ADAMTS10,,,
179,ADAMTS12,Adamts12,True,True,ADAMTS12,True,True,ADAMTS12,ADAMTS12,,,
180,ADAMTS14,Adamts14,True,True,ADAMTS14,True,True,ADAMTS14,ADAMTS14,,,
181,ADAMTS15,Adamts15,True,True,ADAMTS15,True,True,ADAMTS15,ADAMTS15,,,
182,ADAMTS17,Adamts17,True,True,ADAMTS17,True,True,ADAMTS17,ADAMTS17,,,
183,ADAMTS18,Adamts18,True,True,ADAMTS18,True,True,ADAMTS18,ADAMTS18,,,
184,ADAMTS19,Adamts19,True,True,ADAMTS19,True,True,ADAMTS19,ADAMTS19,,,
185,ADAMTS2,Adamts2,True,True,ADAMTS2,True,True,ADAMTS2,ADAMTS2,,,
186,ADAMTS20,Adamts20,True,True,ADAMTS20,True,True,ADAMTS20,ADAMTS20,,,
187,ADAMTS3,Adamts3,True,True,ADAMTS3,True,True,ADAMTS3,ADAMTS3,,,
188,ADAMTS4,Adamts4,True,True,ADAMTS4,True,True,ADAMTS4,ADAMTS4,,,
189,ADAMTS5,Adamts5,True,True,ADAMTS5,True,True,ADAMTS5,ADAMTS5,,,
190,ADAMTS6,Adamts6,True,True,ADAMTS6,True,True,ADAMTS6,ADAMTS6,,,
191,ADAMTS7,Adamts7,True,True,ADAMTS7,True,True,ADAMTS7,ADAMTS7,,,
192,ADAMTS8,Adamts8,True,True,ADAMTS8,True,True,ADAMTS8,ADAMTS8,,,
193,ADAMTS9,Adamts9,True,True,ADAMTS9,True,True,ADAMTS9,ADAMTS9,,,
194,ADAMTSL1,Adamtsl1,True,True,ADAMTSL1,True,True,ADAMTSL1,ADAMTSL1,,,
195,ADAMTSL2,Adamtsl2,True,True,ADAMTSL2,True,True,ADAMTSL2,ADAMTSL2,,,
196,ADAMTSL5,Adamtsl5,True,True,ADAMTSL5,True,True,ADAMTSL5,ADAMTSL5,,,
197,ADAP2,Adap2,True,True,ADAP2,True,True,ADAP2,ADAP2,,,
199,ADARB1,Adarb1,True,True,ADARB1,True,True,ADARB1,ADARB1,,,
200,ADARB2,Adarb2,True,True,ADARB2,True,True,ADARB2,ADARB2,,,
201,ADAT1,Adat1,True,True,ADAT1,True,True,ADAT1,ADAT1,,,
202,ADCK1,Adck1,True,True,ADCK1,True,True,ADCK1,ADCK1,,,
204,ADCY1,Adcy1,True,True,ADCY1,True,True,ADCY1,ADCY1,,,
205,ADCY2,Adcy2,True,True,ADCY2,True,True,ADCY2,ADCY2,,,
207,ADCY6,Adcy6,True,True,ADCY6,True,True,ADCY6,ADCY6,,,
208,ADCY7,Adcy7,True,True,ADCY7,True,True,ADCY7,ADCY7,,,
209,ADCY8,Adcy8,True,True,ADCY8,True,True,ADCY8,ADCY8,,,
210,ADCY9,Adcy9,True,True,ADCY9,True,True,ADCY9,ADCY9,,,
212,ADCYAP1R1,Adcyap1r1,True,True,ADCYAP1R1,True,True,ADCYAP1R1,ADCYAP1R1,,,
214,ADD2,Add2,True,True,ADD2,True,True,ADD2,ADD2,,,
215,ADD3,Add3,True,True,ADD3,True,True,ADD3,ADD3,,,
233,ADH5,Adh5,True,True,ADH4,True,True,ADH5,ADH4,,,
234,ADH6,Adh6b,True,True,ADH1C,True,True,ADH6B,ADH1C,,,
236,ADI1,Adi1,True,True,ADI1,True,True,ADI1,ADI1,,,
237,ADIPOQ,Adipoq,True,True,ADIPOQ,True,True,ADIPOQ,ADIPOQ,,,
239,ADIPOR2,Adipor2,True,True,ADIPOR2,True,True,ADIPOR2,ADIPOR2,,,
240,ADK,Adk,True,True,ADK,True,True,ADK,ADK,,,
241,ADNP,Adnp,True,True,ADNP,True,True,ADNP,ADNP,,,
244,ADORA2A,Adora2a,True,True,ADORA2A,True,True,ADORA2A,ADORA2A,,,
249,ADPRH,Adprh,True,True,ADPRH,True,True,ADPRH,ADPRH,,,
250,ADPRM,Adprm,True,True,ADPRM,True,True,ADPRM,ADPRM,,,
251,ADRA1A,Adra1a,True,True,ADRA1A,True,True,ADRA1A,ADRA1A,,,
252,ADRA1B,Adra1b,True,True,ADRA1B,True,True,ADRA1B,ADRA1B,,,
253,ADRA1D,Adra1d,True,True,ADRA1D,True,True,ADRA1D,ADRA1D,,,
254,ADRA2A,Adra2a,True,True,ADRA2A,True,True,ADRA2A,ADRA2A,,,
255,ADRA2B,Adra2b,True,True,ADRA2B,True,True,ADRA2B,ADRA2B,,,
256,ADRA2C,Adra2c,True,True,ADRA2C,True,True,ADRA2C,ADRA2C,,,
257,ADRB1,Adrb1,True,True,ADRB1,True,True,ADRB1,ADRB1,,,
258,ADRB2,Adrb2,True,True,ADRB2,True,True,ADRB2,ADRB2,,,
259,ADRM1,Adrm1,True,True,ADRM1,True,True,ADRM1,ADRM1,,,
261,ADTRP,Adtrp,True,True,ADTRP,True,True,ADTRP,ADTRP,,,
262,AEBP1,Aebp1,True,True,AEBP1,True,True,AEBP1,AEBP1,,,
263,AEBP2,Aebp2,True,True,AEBP2,True,True,AEBP2,AEBP2,,,
264,AFAP1,Afap1,True,True,AFAP1,True,True,AFAP1,AFAP1,,,
265,AFAP1L1,Afap1l1,True,True,AFAP1L1,True,True,AFAP1L1,AFAP1L1,,,
266,AFAP1L2,Afap1l2,True,True,AFAP1L2,True,True,AFAP1L2,AFAP1L2,,,
268,AFF1,Aff1,True,True,AFF1,True,True,AFF1,AFF1,,,
270,AFF3,Aff3,True,True,AFF3,True,True,AFF3,AFF3,,,
273,AFG3L2,Afg3l2,True,True,AFG3L2,True,True,AFG3L2,AFG3L2,,,
274,AFMID,Afmid,True,True,AFMID,True,True,AFMID,AFMID,,,
276,AGA,Aga,True,True,AGA,True,True,AGA,AGA,,,
277,AGAP1,Agap1,True,True,AGAP1,True,True,AGAP1,AGAP1,,,
279,AGBL1,Agbl1,True,True,AGBL1,True,True,AGBL1,AGBL1,,,
283,AGK,Agk,True,True,AGK,True,True,AGK,AGK,,,
284,AGL,Agl,True,True,AGL,True,True,AGL,AGL,,,
285,AGMAT,Agmat,True,True,AGMAT,True,True,AGMAT,AGMAT,,,
286,AGMO,Agmo,True,True,AGMO,True,True,AGMO,AGMO,,,
287,AGO1,Ago1,True,True,AGO1,True,True,AGO1,AGO1,,,
288,AGO2,Ago2,True,True,AGO2,True,True,AGO2,AGO2,,,
289,AGO3,Ago3,True,True,AGO3,True,True,AGO3,AGO3,,,
291,AGPAT2,Agpat2,True,True,AGPAT2,True,True,AGPAT2,AGPAT2,,,
292,AGPAT3,Agpat3,True,True,AGPAT3,True,True,AGPAT3,AGPAT3,,,
293,AGPAT4,Agpat4,True,True,AGPAT4,True,True,AGPAT4,AGPAT4,,,
295,AGPS,Agps,True,True,AGPS,True,True,AGPS,AGPS,,,
296,AGR2,Agr2,True,True,AGR2,True,True,AGR2,AGR2,,,
297,AGR3,Agr3,True,True,AGR3,True,True,AGR3,AGR3,,,
298,AGRN,Agrn,True,True,AGRN,True,True,AGRN,AGRN,,,
299,AGRP,Agrp,True,True,AGRP,True,True,AGRP,AGRP,,,
301,AGTPBP1,Agtpbp1,True,True,AGTPBP1,True,True,AGTPBP1,AGTPBP1,,,
304,AGTRAP,Agtrap,True,True,AGTRAP,True,True,AGTRAP,AGTRAP,,,
305,AGXT,Agxt,True,True,AGXT,True,True,AGXT,AGXT,,,
306,AGXT2,Agxt2,True,True,AGXT2,True,True,AGXT2,AGXT2,,,
307,AHCTF1,Ahctf1,True,True,AHCTF1,True,True,AHCTF1,AHCTF1,,,
308,AHCY,Ahcy,True,True,AHCY,True,True,AHCY,AHCY,,,
311,AHDC1,Ahdc1,True,True,AHDC1,True,True,AHDC1,AHDC1,,,
313,AHR,Ahr,True,True,AHR,True,True,AHR,AHR,,,
314,AHRR,Ahrr,True,True,AHRR,True,True,AHRR,AHRR,,,
315,AHSA1,Ahsa1,True,True,AHSA1,True,True,AHSA1,AHSA1,,,
316,AHSG,Ahsg,True,True,AHSG,True,True,AHSG,AHSG,,,
317,AICDA,Aicda,True,True,AICDA,True,True,AICDA,AICDA,,,
318,AIDA,Aida,True,True,AIDA,True,True,AIDA,AIDA,,,
319,AIF1L,Aif1l,True,True,AIF1L,True,True,AIF1L,AIF1L,,,
320,AIFM1,Aifm1,True,True,AIFM1,True,True,AIFM1,AIFM1,,,
322,AIFM2,Aifm2,True,True,AIFM2,True,True,AIFM2,AIFM2,,,
323,AIFM3,Aifm3,True,True,AIFM3,True,True,AIFM3,AIFM3,,,
324,AIG1,Aig1,True,True,AIG1,True,True,AIG1,AIG1,,,
326,AIMP2,Aimp2,True,True,AIMP2,True,True,AIMP2,AIMP2,,,
327,AIP,Aip,True,True,AIP,True,True,AIP,AIP,,,
328,AJAP1,Ajap1,True,True,AJAP1,True,True,AJAP1,AJAP1,,,
331,AK3,Ak3,True,True,AK3,True,True,AK3,AK3,,,
332,AK4,Ak4,True,True,AK4,True,True,AK4,AK4,,,
333,AK5,Ak5,True,True,AK5,True,True,AK5,AK5,,,
339,AKAP11,Akap11,True,True,AKAP11,True,True,AKAP11,AKAP11,,,
342,AKAP17A,Akap17b,True,True,AKAP17A,True,True,AKAP17B,AKAP17A,,,
344,AKAP7,Akap7,True,True,AKAP7,True,True,AKAP7,AKAP7,,,
345,AKAP8,Akap8,True,True,AKAP8,True,True,AKAP8,AKAP8,,,
346,AKAP8L,Akap8l,True,True,AKAP8L,True,True,AKAP8L,AKAP8L,,,
347,AKAP9,Akap9,True,True,AKAP9,True,True,AKAP9,AKAP9,,,
348,AKIRIN2,Akirin2,True,True,AKIRIN2,True,True,AKIRIN2,AKIRIN2,,,
349,AKR1A1,Akr1a1,True,True,AKR1A1,True,True,AKR1A1,AKR1A1,,,
350,AKR1D1,Akr1d1,True,True,AKR1D1,True,True,AKR1D1,AKR1D1,,,
352,AKR1E2,Akr1e1,True,True,AKR1E2,True,True,AKR1E1,AKR1E2,,,
353,AKT1,Akt1,True,True,AKT1,True,True,AKT1,AKT1,,,
354,AKT2,Akt2,True,True,AKT2,True,True,AKT2,AKT2,,,
355,AKT3,Akt3,True,True,AKT3,True,True,AKT3,AKT3,,,
356,AKTIP,Aktip,True,True,AKTIP,True,True,AKTIP,AKTIP,,,
357,ALAD,Alad,True,True,ALAD,True,True,ALAD,ALAD,,,
359,ALB,Alb,True,True,ALB,True,True,ALB,ALB,,,
361,ALDH18A1,Aldh18a1,True,True,ALDH18A1,True,True,ALDH18A1,ALDH18A1,,,
364,ALDH1A2,Aldh1a2,True,True,ALDH1A2,True,True,ALDH1A2,ALDH1A2,,,
365,ALDH1A3,Aldh1a3,True,True,ALDH1A3,True,True,ALDH1A3,ALDH1A3,,,
366,ALDH1L2,Aldh1l2,True,True,ALDH1L2,True,True,ALDH1L2,ALDH1L2,,,
367,ALDH3A2,Aldh3a2,True,True,ALDH3A2,True,True,ALDH3A2,ALDH3A2,,,
368,ALDH4A1,Aldh4a1,True,True,ALDH4A1,True,True,ALDH4A1,ALDH4A1,,,
369,ALDH5A1,Aldh5a1,True,True,ALDH5A1,True,True,ALDH5A1,ALDH5A1,,,
370,ALDH6A1,Aldh6a1,True,True,ALDH6A1,True,True,ALDH6A1,ALDH6A1,,,
371,ALDH7A1,Aldh7a1,True,True,ALDH7A1,True,True,ALDH7A1,ALDH7A1,,,
372,ALDH8A1,Aldh8a1,True,True,ALDH8A1,True,True,ALDH8A1,ALDH8A1,,,
373,ALDH9A1,Aldh9a1,True,True,ALDH9A1,True,True,ALDH9A1,ALDH9A1,,,
374,ALDOB,Aldob,True,True,ALDOB,True,True,ALDOB,ALDOB,,,
377,ALG12,Alg12,True,True,ALG12,True,True,ALG12,ALG12,,,
378,ALG14,Alg14,True,True,ALG14,True,True,ALG14,ALG14,,,
379,ALG2,Alg2,True,True,ALG2,True,True,ALG2,ALG2,,,
380,ALG3,Alg3,True,True,ALG3,True,True,ALG3,ALG3,,,
381,ALG5,Alg5,True,True,ALG5,True,True,ALG5,ALG5,,,
383,ALG8,Alg8,True,True,ALG8,True,True,ALG8,ALG8,,,
384,ALK,Alk,True,True,ALK,True,True,ALK,ALK,,,
386,ALKBH1,Alkbh1,True,True,ALKBH1,True,True,ALKBH1,ALKBH1,,,
387,ALKBH2,Alkbh2,True,True,ALKBH2,True,True,ALKBH2,ALKBH2,,,
389,ALKBH4,Alkbh4,True,True,ALKBH4,True,True,ALKBH4,ALKBH4,,,
391,ALKBH8,Alkbh8,True,True,ALKBH8,True,True,ALKBH8,ALKBH8,,,
392,ALOX5,Alox5,True,True,ALOX5,True,True,ALOX5,ALOX5,,,
393,ALOX5AP,Alox5ap,True,True,ALOX5AP,True,True,ALOX5AP,ALOX5AP,,,
394,ALPK1,Alpk1,True,True,ALPK1,True,True,ALPK1,ALPK1,,,
398,ALS2CL,Als2cl,True,True,ALS2CL,True,True,ALS2CL,ALS2CL,,,
399,ALX1,Alx1,True,True,ALX1,True,True,ALX1,ALX1,,,
400,ALX3,Alx3,True,True,ALX3,True,True,ALX3,ALX3,,,
401,ALX4,Alx4,True,True,ALX4,True,True,ALX4,ALX4,,,
402,ALYREF,Alyref,True,True,ALYREF,True,True,ALYREF,ALYREF,,,
404,AMACR,Amacr,True,True,AMACR,True,True,AMACR,AMACR,,,
405,AMBP,Ambp,True,True,AMBP,True,True,AMBP,AMBP,,,
409,AMDHD1,Amdhd1,True,True,AMDHD1,True,True,AMDHD1,AMDHD1,,,
410,AMDHD2,Amdhd2,True,True,AMDHD2,True,True,AMDHD2,AMDHD2,,,
411,AMER1,Amer1,True,True,AMER1,True,True,AMER1,AMER1,,,
412,AMER2,Amer2,True,True,AMER2,True,True,AMER2,AMER2,,,
413,AMER3,Amer3,True,True,AMER3,True,True,AMER3,AMER3,,,
415,AMH,Amh,True,True,AMH,True,True,AMH,AMH,,,
416,AMIGO1,Amigo1,True,True,AMIGO1,True,True,AMIGO1,AMIGO1,,,
417,AMIGO2,Amigo2,True,True,AMIGO2,True,True,AMIGO2,AMIGO2,,,
418,AMIGO3,Amigo3,True,True,AMIGO3,True,True,AMIGO3,AMIGO3,,,
419,AMMECR1,Ammecr1,True,True,AMMECR1,True,True,AMMECR1,AMMECR1,,,
420,AMN,Amn,True,True,AMN,True,True,AMN,AMN,,,
422,AMOT,Amot,True,True,AMOT,True,True,AMOT,AMOT,,,
423,AMOTL1,Amotl1,True,True,AMOTL1,True,True,AMOTL1,AMOTL1,,,
424,AMOTL2,Amotl2,True,True,AMOTL2,True,True,AMOTL2,AMOTL2,,,
425,AMPD1,Ampd1,True,True,AMPD1,True,True,AMPD1,AMPD1,,,
427,AMPD3,Ampd3,True,True,AMPD3,True,True,AMPD3,AMPD3,,,
428,AMPH,Amph,True,True,AMPH,True,True,AMPH,AMPH,,,
429,AMT,Amt,True,True,AMT,False,True,AMT,AMT,,,
430,AMZ1,Amz1,True,True,AMZ1,True,True,AMZ1,AMZ1,,,
431,ANAPC1,Anapc1,True,True,ANAPC1,True,True,ANAPC1,ANAPC1,,,
433,ANAPC13,Anapc13,True,True,ANAPC13,True,True,ANAPC13,ANAPC13,,,
434,ANAPC15,Anapc15,True,True,ANAPC15,True,True,ANAPC15,ANAPC15,,,
435,ANAPC16,Anapc16,True,True,ANAPC16,True,True,ANAPC16,ANAPC16,,,
436,ANAPC2,Anapc2,True,True,ANAPC2,True,True,ANAPC2,ANAPC2,,,
439,ANAPC7,Anapc7,True,True,ANAPC7,True,True,ANAPC7,ANAPC7,,,
440,ANGEL1,Angel1,True,True,ANGEL1,True,True,ANGEL1,ANGEL1,,,
441,ANGEL2,Angel2,True,True,ANGEL2,True,True,ANGEL2,ANGEL2,,,
442,ANGPT1,Angpt1,True,True,ANGPT1,True,True,ANGPT1,ANGPT1,,,
444,ANGPT4,Angpt4,True,True,ANGPT4,True,True,ANGPT4,ANGPT4,,,
445,ANGPTL1,Angptl1,True,True,ANGPTL1,True,True,ANGPTL1,ANGPTL1,,,
